date,r1,r2,r3,r4,r5,r6,b1
2026-01-01,1,5,9,14,22,31,7
2026-01-03,3,8,12,18,24,30,11
2026-01-05,2,6,13,19,25,32,4
2026-01-08,4,10,15,20,27,33,9
2026-01-10,5,11,16,21,28,30,2
2026-01-12,1,7,14,18,26,31,15
2026-01-15,3,9,12,17,23,29,8
2026-01-17,6,10,13,22,24,33,1
2026-01-19,2,8,15,19,25,30,12
2026-01-22,4,11,16,20,27,31,6
2026-01-24,5,9,14,18,28,32,10
2026-01-26,1,7,12,21,26,33,3
2026-01-29,3,8,13,17,24,30,14
2026-01-31,2,10,15,19,25,31,5
2026-02-02,4,11,16,20,27,32,9
2026-02-05,5,6,14,18,28,33,16
2026-02-07,1,9,12,21,23,30,7
2026-02-09,3,8,13,17,24,31,11
2026-02-12,2,10,15,19,26,32,4
2026-02-14,4,7,16,20,27,33,13
2026-02-16,5,9,14,18,25,30,6
2026-02-19,1,6,12,21,23,31,8
2026-02-21,3,10,13,17,24,32,15
2026-02-23,2,8,15,19,26,33,2
2026-02-26,4,11,16,20,27,30,10
2026-02-28,5,7,14,18,25,31,5
2026-03-02,1,9,12,21,23,32,14
2026-03-05,3,10,13,17,24,33,1
2026-03-07,2,8,15,19,26,30,12